               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11471,            0.031959,                   0,           0.0072008,             0.23457,           0.0065526,             0.00133,            0.099639,            0.027355,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.093055,            0.030152,                   0,             0.32539,             0.22222,             0.19827,            0.057923,            0.081543,            0.024489,                   0,            0.072039,           0.0030386,           0.0030386
                   2,            0.080886,            0.028243,                   0,             0.41552,             0.45679,             0.35959,             0.13431,            0.077101,            0.021734,                   0,            0.057514,           0.0045139,           0.0045139
                   3,            0.071652,            0.025557,                   0,             0.37802,             0.50617,             0.31272,             0.15616,            0.078749,            0.024773,                   0,            0.042926,           0.0059258,           0.0059258
                   4,            0.065508,            0.025276,                   0,             0.56933,             0.54321,             0.42812,             0.14457,            0.065718,            0.022329,                   0,            0.028274,           0.0072743,           0.0072743
                   5,            0.065749,            0.026013,                   0,             0.43842,             0.44444,             0.36898,             0.11562,             0.06747,             0.01699,                   0,             0.01356,           0.0085595,           0.0085595
                   6,             0.06182,            0.022999,                   0,             0.40947,             0.51365,             0.37899,             0.17039,             0.06075,             0.01685,                   0,            0.008812,            0.008812,            0.008812
                   7,            0.056044,            0.022334,                   0,             0.45702,             0.44444,             0.43949,             0.24349,            0.060216,            0.016121,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.052706,            0.020013,                   0,             0.50886,             0.67795,             0.51775,             0.26426,            0.055176,            0.015527,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.051149,            0.021305,                   0,             0.68106,             0.58025,             0.59909,             0.34968,            0.051165,            0.015189,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.049044,            0.019646,                   0,             0.48992,             0.65432,             0.54399,             0.36019,            0.046946,            0.015104,                   0,            0.008218,            0.008218,            0.008218
                  11,              0.0454,            0.018298,                   0,             0.64328,             0.69018,             0.61167,             0.35391,            0.044222,            0.015197,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.041248,            0.016441,                   0,             0.64065,             0.71605,             0.60814,             0.38382,            0.046429,            0.015174,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.043603,            0.017385,                   0,             0.60756,             0.71605,             0.66477,             0.39278,            0.044965,            0.013344,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.042713,            0.018638,                   0,             0.63322,              0.7247,             0.67633,             0.40629,            0.040578,            0.013543,                   0,            0.007426,            0.007426,            0.007426
