               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11471,            0.031959,                   0,           0.0068086,             0.23457,           0.0061373,           0.0012466,            0.099639,            0.027355,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.092833,              0.0302,                   0,             0.29212,             0.18519,             0.15664,            0.055276,            0.080682,            0.024788,                   0,            0.072069,           0.0030693,           0.0030693
                   2,            0.079876,            0.028528,                   0,             0.26312,              0.2716,             0.16043,            0.034996,            0.081211,            0.022197,                   0,            0.057607,           0.0046069,           0.0046069
                   3,            0.070887,            0.025139,                   0,             0.47846,             0.54321,             0.36196,             0.17945,            0.073637,            0.022632,                   0,            0.043113,           0.0061129,           0.0061129
                   4,            0.067394,            0.024649,                   0,             0.57022,             0.50779,             0.36874,             0.09192,             0.08064,            0.020419,                   0,            0.028587,           0.0075872,           0.0075872
                   5,            0.066793,            0.025888,                   0,             0.56942,             0.54321,             0.48335,             0.17479,            0.067741,              0.0187,                   0,             0.01403,           0.0090297,           0.0090297
                   6,            0.060361,            0.023182,                   0,             0.65247,             0.55556,             0.54022,             0.23922,            0.061005,            0.017093,                   0,            0.009406,            0.009406,            0.009406
                   7,            0.056509,            0.021994,                   0,             0.66006,             0.51852,             0.56379,             0.28579,            0.059767,            0.017364,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.054876,            0.019625,                   0,             0.65707,             0.60494,             0.61115,             0.34657,             0.05641,            0.015679,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.05146,            0.021494,                   0,             0.44147,             0.78068,             0.54437,             0.25114,            0.057019,            0.015866,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.049197,            0.019675,                   0,             0.54985,             0.61728,             0.49303,             0.29529,            0.054478,            0.015348,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.047035,            0.018294,                   0,             0.60067,             0.76141,             0.61873,             0.35795,            0.047417,            0.016014,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.042115,            0.016116,                   0,             0.61841,             0.59259,             0.59737,             0.32397,            0.049604,            0.014152,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.043317,            0.017663,                   0,             0.58756,             0.69136,             0.60594,             0.35368,            0.045245,            0.014197,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.042981,            0.018447,                   0,             0.54563,             0.83951,             0.68326,             0.39558,            0.043984,            0.013577,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041879,            0.016215,                   0,             0.60914,             0.76965,              0.6883,              0.4206,             0.03944,            0.013488,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.038629,            0.016711,                   0,             0.64323,              0.7568,             0.72548,             0.41374,            0.042186,            0.013152,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.038437,             0.01623,                   0,             0.67965,             0.82716,             0.74747,             0.51132,            0.040139,            0.012845,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.037511,            0.015875,                   0,             0.63941,             0.74436,             0.72019,             0.49374,            0.038542,             0.01281,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.036112,            0.016357,                   0,             0.64818,             0.77338,             0.74176,             0.51026,            0.040831,            0.012279,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.035674,            0.016051,                   0,              0.6532,             0.79061,             0.75062,             0.49283,             0.03942,            0.012566,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.035649,            0.015036,                   0,             0.71263,             0.81481,             0.77293,             0.52455,            0.036109,            0.012329,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.034485,             0.01574,                   0,             0.65593,             0.74074,             0.74745,             0.49165,            0.036171,            0.011965,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.035324,            0.014928,                   0,             0.68055,             0.75309,             0.78252,             0.54894,             0.03523,            0.011901,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.03317,            0.013974,                   0,              0.6836,              0.7284,             0.72839,             0.47238,            0.037103,            0.011909,                   0,            0.007723,            0.007723,            0.007723
