               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095068,            0.032875,                   0,             0.66957,             0.50103,              0.6468,             0.37632,            0.017399,            0.014349,                   0,            0.070732,            0.003252,            0.003252
                   1,            0.057664,            0.024201,                   0,             0.51184,             0.80078,             0.73506,             0.59434,            0.030996,           0.0083003,                   0,            0.040601,            0.006455,            0.006455
                   2,            0.053041,            0.019613,                   0,              0.8057,             0.89011,             0.89967,             0.51855,            0.021409,           0.0075681,                   0,            0.010339,           0.0095259,           0.0095259
                   3,            0.047298,            0.017147,                   0,             0.92055,             0.93956,             0.96723,             0.87025,            0.011833,            0.004992,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.042383,             0.01556,                   0,             0.95206,               0.982,             0.97584,             0.59031,            0.011684,           0.0039096,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.036505,            0.013919,                   0,             0.97817,             0.99451,             0.98947,             0.86907,           0.0088618,            0.004195,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.034381,             0.01284,                   0,             0.97255,             0.97336,             0.98876,             0.76485,           0.0080254,           0.0031138,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.029706,            0.012051,                   0,             0.97995,             0.98901,             0.99423,             0.98419,            0.011657,           0.0030356,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.028783,            0.011966,                   0,             0.98572,                   1,               0.994,             0.72331,           0.0064413,           0.0038145,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.027804,            0.010877,                   0,             0.99753,                   1,               0.995,             0.83477,           0.0056032,            0.003118,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.028543,           0.0098564,                   0,             0.99786,                   1,               0.995,             0.96413,           0.0050441,           0.0031298,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.027457,           0.0099735,                   0,             0.99848,                   1,               0.995,             0.97294,           0.0065596,           0.0030012,                   0,             0.00802,             0.00802,             0.00802
                  12,              0.0268,           0.0097236,                   0,             0.99682,                   1,               0.995,              0.9526,           0.0038548,            0.002212,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.025155,           0.0093521,                   0,             0.99886,             0.99451,               0.995,             0.62464,           0.0088973,           0.0022465,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.024312,           0.0089922,                   0,                   1,              0.9985,               0.995,             0.88219,           0.0040841,            0.002536,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.020392,           0.0092686,                   0,             0.99842,                   1,               0.995,             0.75178,           0.0061048,           0.0022437,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.02319,           0.0084832,                   0,             0.99911,                   1,               0.995,             0.98204,           0.0050795,           0.0020453,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.020009,           0.0084997,                   0,             0.99843,                   1,               0.995,             0.75815,           0.0071665,           0.0020086,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.019051,           0.0080245,                   0,             0.99851,                   1,               0.995,             0.97398,           0.0028912,           0.0018761,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.019796,           0.0080643,                   0,             0.99919,                   1,               0.995,             0.99498,            0.011613,           0.0016876,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.019457,           0.0077475,                   0,             0.99888,                   1,               0.995,              0.7472,            0.007106,           0.0019393,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.017966,            0.007908,                   0,             0.99429,             0.95692,             0.99344,             0.81516,           0.0044438,            0.002693,                   0,             0.00604,             0.00604,             0.00604
